phrase,volume,difficulty,cpc,parent_topic,global_volume
able to decide,,,,,
arranging my life,,,,,
avoidant attachment,90000,28,2,avoidant attachment style,185000
avoiding phone calls,10,12,60,fear of talking on the phone,20
avoiding photos,0,,,,0
become relationships,,,,,
better life,3400,18,110,better life,13000
black and white,54000,33,50,white and black,212000
break a habit,80,8,7,break a habit,250
canceling plans,60,1,,last minute cancellations,80
catastrophizing,33000,0,7,catastrophizing definition,53000
celebrating wins,100,21,,celebrate small wins,200
changing the subject,60,0,6,changing the subject,800
checking their social,,,,,
closer to strangers,,,,,
complaining without changing,,,,,
conditional self worth,60,,,,150
cynicism,31000,34,40,cynicism,53000
daydreaming,9000,13,40,daydreaming,26000
deflecting,18000,0,6,deflecting,25000
early feeling fades,,,,,
emotional exhaustion,3500,0,9,emotional exhaustion,6700
emotional home,20,0,,emotional home,50
emotional manipulation,6200,0,2,emotional manipulation,12000
emotional suppression,800,5,40,what is emotional suppression,2200
emotional wounds,200,3,4,emotional wounds,500
end up apologizing,,,,,
enmeshment,28000,12,3,enmeshment,46000
escapism,21000,55,60,escapism,53000
explanation i give,,,,,
expressing anger sideways,,,,,
family blames,0,,0,,0
fawn response,7700,0,4,fawn response,16000
fear of happiness,300,6,,cherophobia,500
fear of rejection,3200,0,5,fear of rejection,5800
feeling responsible,10,,,,20
filling every silence,,,,,
find yourself,1800,9,30,find yourself,15000
forgive yourself,800,1,4,forgiving yourself,2000
giving unsolicited advice,50,0,,unwarranted advice,90
going quiet,80,,,,150
going stiff,0,,,,0
grey rocking,8200,0,2,grey rock method,15000
hiding small,,,,,
insight doesnt change,,,,,
keeping my life,,,,,
love yourself,11000,9,6,justin bieber love yourself,85000
ninety percent,400,0,50,ninety percent clothing,3300
ones who hurt,,,,,
parent turn,,,,,
partners past,10,,,,20
phone mid conversation,,,,,
putting myself,0,,,,10
rebuild trust,300,4,4,how to rebuild trust in a relationship,1600
running late,1400,0,,running late,2300
set boundaries,900,16,3,how to set boundaries,3400
start later,10,,,,10
staying up late,1500,31,6,sleeping late,1900
stop people pleasing,300,3,5,how to stop being a people pleaser,800
stop thinking,300,0,30,how to not think,1200
sudden revulsion,,,,,
supporting character,800,9,35,secondary character,1500
trust yourself,800,1,20,how to trust yourself,3500
unpredictable parent,0,,,,10
waiting for permission,0,,,,20
watch someone embarrass,,,,,
watched and judged,,,,,
anticipated,8000,4,5,anticipated,17000
avoidance,9200,0,25,avoidance behavior,20000
benign,133000,32,2,benign,226000
deferred life plan,10,0,,deferred life plan,20
discomfort of undirected time,,,,,
external locus of control,13000,1,3,locus of control,15000
fear of missing,20,49,35,fomo meaning,250
giver,2500,34,15,the giver,6200
hot-cold empathy gap,40,9,,cold empathy,100
ick,18000,14,1,ick,57000
mere exposure effect,8700,0,6,mere exposure effect,14000
planning fallacy,1500,0,15,what is planning fallacy,3300
propinquity effect,350,1,10,propinquity,500
co-rumination venting actually make,,,,,
giver measures compulsive over-giving,,,,,
grey rock grey-rocking habit,,,,,
hot-cold empathy gap boss,,,,,
planning fallacy last-minute rush,,,,,
