phrase,volume,difficulty,cpc,parent_topic,global_volume
anticipated versus experienced enjoyment,,,,,
assertiveness,9600,0,0.07,assertiveness,38000
becoming a recluse,40,0,0.35,being a recluse,50
bedtime procrastination,700,27,0.03,revenge bedtime procrastination,2300
breadcrumbing,21000,2,0.02,breadcrumbing,72000
catharsis,48000,38,0.20,catharsis,120000
chronic indecisiveness,80,2,,chronic indecisiveness,200
co-rumination,200,4,0.07,corumination,300
cognitive dissonance,219000,0,0.03,cognitive dissonance,358000
commitment issues,7300,0,0.06,do i have commitment issues,17000
compartmentalization,8400,5,0.03,compartmentalization,16000
compensatory consumption,80,,,,200
compliance,118000,43,0.15,compliance,517000
cue-poor communication,,,,,
darvo,76000,46,0.30,darvo,114000
deflection,8900,0,0.06,deflection,27000
disorganized attachment,9900,26,0.03,fearful avoidant disorganized attachment,18000
doomscrolling,37000,1,0.04,doomscrolling,136000
editability,150,0,1.00,editability,300
emotionally immature parents,7300,4,0.05,emotionally.immature parents,9500
employee silence,10,0,,employee silence,70
everyday deception,,,,,
excuse selection,,,,,
expressive suppression,30,5,,expressive suppression,90
fatalism,10000,0,0.10,fatalism,20000
fear of missing out,4300,67,0.06,fomo meaning,27000
feeling insecure,400,5,0.08,how to stop being insecure,1000
gaslighting,232000,1,0.03,gaslighting meaning,895000
ghosting,21000,14,0.09,ghosting,249000
glass child,5000,10,,glass child,12000
goal disengagement,20,0,,goal disengagement,50
gossip,27000,44,0.10,gossip,730000
grey rock,4500,22,0.02,grey rock,9800
hating your own life,,,,,
heartbreak,11000,24,0.60,heartbreak,43000
honeymoon phase,10000,15,0.02,honeymoon phase,18000
hopeless romantic,29000,0,0.03,hopeless romantic,64000
hyper-independence,500,19,0.10,hyper independence,1100
identity crisis,15000,0,0.20,identity crisis,37000
impression management,6300,10,0.07,impression management,9500
indirect support seeking,,,,,
infantilizing,8600,0,0.40,infantilize,13000
inferiority complex,24000,0,0.07,inferiority complex,77000
information avoidance,50,9,,information avoidance,90
intermittent reinforcement,6000,0,0.05,intermittent reinforcement,10000
interpersonal electronic surveillance,0,,,,0
keeping score,250,6,0.10,keeping score,700
limerence,218000,14,0.02,limerence,410000
love bombing,94000,30,0.02,love bombing,404000
maladaptive daydreaming,82000,33,0.02,maladaptive daydreaming,179000
mental rehearsal,400,2,0.30,mental rehearsal,1000
micro-cheating,200,4,0.02,microcheating,900
nervous laughter,1400,10,0.09,nervous laughter,2600
organizational citizenship behavior,1300,1,0.08,what is ocb,2800
over-apologizing,20,1,,over apologizing,40
oversharing,2700,0,0.07,oversharing hangover,21000
overstimulation,12000,19,0.02,overstimulation,30000
parasocial relationship,6600,0,0.02,parasocial meaning,13000
passive aggressive behavior,8300,37,0.02,passive aggressive behavior,10000
perfectionistic concerns,0,,,,10
phatic communication,600,10,0.04,phatic communication,1700
phone anxiety,800,22,0.03,phone anxiety,1400
phubbing,5900,12,0.02,phubbing behavior,33000
projection,26000,51,0.10,psychological projection,64000
reaction formation,16000,0,0.04,reaction formation,21000
relationship testing,80,0,0,relationship testing,200
retroactive jealousy,16000,3,0.03,retroactive jealousy,44000
revision against restarting,,,,,
role theory,1300,3,0.10,role theory,2700
safety behaviors,200,4,2.50,safety behaviors anxiety,300
savoring,2600,7,1.40,savoring,6500
scapegoat,51000,17,0.03,scapegoat,79000
segmented sleep,800,13,0.02,biphasic sleep,1600
self-censorship,150,6,,self censorship,300
self-concealment,0,,,,10
self-consciousness,300,2,0.20,self conscious,700
self-deprecation,1600,4,,self deprecating,3700
self-disclosure,2500,5,0.20,self disclosure,3300
self-fulfilling prophecy,7000,0,0.02,self fulfilling prophecy,9600
self-monitoring,400,7,0.30,self monitoring,900
self-verification,90,9,1.50,self-verification,200
situationship,82000,24,0.02,situationship,306000
sublimation,115000,1,0.25,what is sublimation printing,245000
superiority complex,17000,0,0.09,superiority complex,48000
support matching,,,,,
temporal motivation,0,,,,0
the deferred life plan,,,,,
the drama triangle,700,0,0.25,drama bonding,2400
the endowment effect,1100,53,0.60,endowment effect,1500
the giver,103000,0,0.10,the giver,132000
the hot-cold empathy gap,,,,,
the ick,7800,0,0.01,the ick,35000
the mere exposure effect,450,45,0.05,mere exposure effect example,1000
the planning fallacy,200,9,0.04,the planning fallacy,400
the propinquity effect,10,0,,propinquity,10
topic avoidance,0,,,,10
touch avoidance,10,0,,touch avoidance,20
triangulation,21000,23,0.02,triangulation,50000
turn-taking,20,1,,turn taking,450
unrequited love,46000,13,0.02,unrequited love,99000
unsupportive social interactions,,,,,
vicarious embarrassment,150,10,,second hand embarrassment,350
weaponized incompetence,44000,0,0.02,weaponized incompetence,80000
work-to-family spillover,0,,,,0
